Word,Meaning
obtaining,"
----------verb----------
Meaning: Get, acquire, or secure (something)
Example: adequate insurance cover is difficult to obtain

(get,acquire,come by,secure,procure,come into possession of,pick up,be given,)
----------verb----------
Meaning: Be prevalent, customary, or established.
Example: the price of silver fell to that obtaining elsewhere in the ancient world

(prevail,be in force,apply,exist,be in use,be established,be customary,be effective,be prevalent,stand,hold,be the case,)
"
obtrusive,"
----------adjective----------
Meaning: Noticeable or prominent in an unwelcome or intrusive way.
Example: high-powered satellites can reach smaller and less obtrusive antennas

(conspicuous,prominent,noticeable,obvious,pronounced,unmistakable,inescapable,)
"
obtuse,"
----------adjective----------
Meaning: Annoyingly insensitive or slow to understand.
Example: he wondered if the doctor was being deliberately obtuse

(stupid,dull,slow-witted,slow,dull-witted,unintelligent,witless,half-baked,half-witted,doltish,lumpish,blockish,imperceptive,)
----------adjective----------
Meaning: Not sharp-pointed or sharp-edged; blunt.

(rounded,flat,thick,obtuse,stubby,stubbed,unpointed,)
"
obviate,"
----------transitive verb----------
Meaning: Remove (a need or difficulty)
Example: the Venetian blinds obviated the need for curtains

(preclude,prevent,remove,get rid of,do away with,get round,rule out,eliminate,make unnecessary,take away,foreclose,avoid,avert,counter,)
"
obvious,"
----------adjective----------
Meaning: Easily perceived or understood; clear, self-evident, or apparent.
Example: unemployment has been the most obvious cost of the recession

(clear,plain,plain to see,crystal clear,evident,apparent,manifest,patent,conspicuous,pronounced,transparent,clear-cut,palpable,prominent,marked,decided,salient,striking,distinct,bold,noticeable,perceptible,perceivable,visible,discernible,detectable,observable,tangible,recognizable,)
"
obviously,"
----------adverb----------
Meaning: In a way that is easily perceived or understood; clearly.
Example: she was obviously sick

(clearly,evidently,plainly,patently,visibly,discernibly,manifestly,noticeably,)
"
occlude,"
----------verb----------
Meaning: Stop, close up, or obstruct (an opening, orifice, or passage)
Example: thick make-up can occlude the pores

(chunk,hunk,brick,slab,lump,piece,)
"
occupation,"
----------noun----------
Meaning: A job or profession.
Example: his prime occupation was as editor

(job,day job,profession,work,line of work,line of business,trade,employment,position,post,situation,business,career,métier,vocation,calling,craft,skill,field,province,walk of life,)
----------noun----------
Meaning: The action or fact of living in or using a building or other place.
Example: a property suitable for occupation by older people

(residence,residency,habitation,inhabitation,occupancy,tenancy,tenure,lease,living in,)
"
occupational,"
----------adjective----------
Meaning: Relating to a job or profession.
Example: hepatitis B may be an occupational disease for some healthcare workers

(job-related,work,professional,vocational,employment,business,career,)
"
occupy,"
----------transitive verb----------
Meaning: Reside or have one's place of business in (a building)
Example: the apartment she occupies in Manhattan

(inhabited,lived-in,tenanted,settled,)
----------transitive verb----------
Meaning: Fill or preoccupy (the mind or thoughts)
Example: her mind was occupied with alarming questions

(engage,busy,employ,distract,absorb,engross,preoccupy,hold,hold the attention of,immerse,interest,involve,entertain,divert,amuse,beguile,)
----------transitive verb----------
Meaning: Take control of (a place, especially a country) by military conquest or settlement.
Example: the region was occupied by Britain during World War I

(capture,seize,take possession of,conquer,invade,overrun,take over,colonize,garrison,annex,dominate,subjugate,hegemonize,hold,commandeer,requisition,)
"
occur,"
----------verb----------
Meaning: Happen; take place.
Example: the accident occurred at about 3:30 p.m.

(happen,take place,come about,transpire,materialize,chance,arise,crop up,turn out,fall,come,fall out,pass off,)
"
occurrence,"
----------noun----------
Meaning: An incident or event.
Example: vandalism used to be a rare occurrence

(event,incident,happening,phenomenon,affair,matter,experience,circumstance,development,contingency,eventuality,)
"
octane,"
"
october,"
----------noun----------
Meaning: The tenth month of the year, in the northern hemisphere usually considered the second month of autumn.
"
octopus,"
"
odd,"
----------adjective----------
Meaning: Different from what is usual or expected; strange.
Example: the neighbors thought him very odd

(strange,peculiar,weird,queer,funny,bizarre,eccentric,unusual,abnormal,idiosyncratic,unconventional,outlandish,offbeat,freakish,quirky,quaint,zany,off-centre,)
----------adjective----------
Meaning: (of whole numbers such as 3 and 5) having one left over as a remainder when divided by two.
Example: atoms which possess an odd number of electrons

(uneven,not divisible by two,)
----------adjective----------
Meaning: Happening or occurring infrequently and irregularly; occasional.
Example: neither did she want a secret affair, snatching odd moments together

(occasional,casual,irregular,isolated,incidental,random,sporadic,seasonal,periodic,part-time,)
----------adjective----------
Meaning: Separated from a usual pair or set and therefore out of place or mismatched.
Example: he's wearing odd socks

(mismatched,unmatched,unpaired,)
"
odious,"
----------adjective----------
Meaning: Extremely unpleasant; repulsive.
Example: a pretty odious character

(revolting,repulsive,repellent,repugnant,disgusting,offensive,objectionable,vile,foul,abhorrent,loathsome,nauseating,nauseous,sickening,hateful,detestable,execrable,abominable,monstrous,appalling,reprehensible,deplorable,insufferable,intolerable,unacceptable,despicable,contemptible,beyond the pale,unspeakable,poisonous,noxious,obscene,base,hideous,grisly,gruesome,horrendous,heinous,atrocious,awful,terrible,dreadful,frightful,obnoxious,unsavoury,unpalatable,unpleasant,disagreeable,nasty,distasteful,dislikeable,off-putting,displeasing,)
"
odium,"
----------noun----------
Meaning: General or widespread hatred or disgust directed toward someone as a result of their actions.
Example: his job had made him the target of public hostility and odium

(disgust,abhorrence,repugnance,revulsion,repulsion,loathing,detestation,hatred,hate,execration,obloquy,dislike,disapproval,disapprobation,distaste,disfavour,aversion,antipathy,animosity,animus,enmity,hostility,contempt,censure,condemnation,)
"
odor,"
----------noun----------
Meaning: A distinctive smell, especially an unpleasant one.
Example: the odor of cigarette smoke

(smell,scent,aroma,perfume,fragrance,bouquet,savour,nose,tang,essence,redolence,)
----------noun----------
Meaning: A lingering quality, impression, or feeling attaching to something.
Example: an odor of suspicion

(atmosphere,air,aura,quality,spirit,flavour,savour,emanation,hint,suggestion,impression,whiff,ambience,tone,)
"
offer,"
----------verb----------
Meaning: Present or proffer (something) for (someone) to accept or reject as desired.
Example: may I offer you a drink?

(provide,put forward,give,proffer,present,extend,suggest,recommend,propose,propound,advance,submit,tender,render,come up with,)
----------verb----------
Meaning: Provide (access or an opportunity)
Example: the Coast Road offers easy access to the Nine Glens of Antrim

(occur,present itself,arrive,appear,happen,show itself,)

----------noun----------
Meaning: An expression of readiness to do or give something if desired.
Example: sympathetic offers of help

(proposal,proposition,suggestion,submission,approach,overture,)
"
officious,"
----------adjective----------
Meaning: Assertive of authority in an annoyingly domineering way, especially with regard to petty or trivial matters.
Example: the security people were very officious

(peremptory,high-handed,commanding,imperial,overbearing,overweening,domineering,authoritarian,dictatorial,authoritative,lordly,officious,assertive,dominating,bullish,forceful,bossy,arrogant,)
"
offset,"

----------verb----------
Meaning: Counteract (something) by having an opposing force or effect.
Example: the deficit has been more than offset by capital inflows

(counterbalance,balance,balance out,cancel,cancel out,even out,even up,counteract,counterpoise,countervail,equalize,neutralize,nullify,compensate for,make up for,make good,redeem,indemnify,)
"
often,"
----------adverb----------
Meaning: Frequently; many times.
Example: he often goes for long walks by himself

(frequently,many times,many a time,on many occasions,on numerous occasions,a lot,in many cases,in many instances,repeatedly,again and again,time and again,time and time again,time after time,over and over,over and over again,day in,day out,week in,week out,all the time,regularly,recurrently,continually,usually,habitually,commonly,generally,ordinarily,as often as not,)
"
ombudsman,"
----------noun----------
Meaning: An official appointed to investigate individuals' complaints against maladministration, especially that of public authorities.
Example: These failures in human communication feature in many of the complaints investigated by the ombudsman's office.

(defender,preserver,bodyguard,guardian,guard,champion,watchdog,ombudsman,knight in shining armour,guardian angel,patron,chaperone,escort,keeper,custodian,)
"
ominous,"
----------adjective----------
Meaning: Giving the impression that something bad or unpleasant is going to happen; threatening; inauspicious.
Example: there were ominous dark clouds gathering overhead

(threatening,menacing,baleful,forbidding,sinister,doomy,inauspicious,unpropitious,portentous,unfavourable,dire,unpromising,)
"
one,"
----------cardinal number----------
Meaning: The lowest cardinal number; half of two; 1.A single person or thing, viewed as taking the place of a group.Single; just one as opposed to any more or to none at all (used for emphasis)Denoting a particular item of a pair or number of items.Denoting a particular but unspecified occasion or period.Used before a name to denote a person who is not familiar or has not been previously mentioned; a certain.A noteworthy example of (used for emphasis)Identical; the same.One year old.One o'clock.A one-dollar bill.An alcoholic drink.A joke or story.A size of garment or other merchandise denoted by one.A domino or dice with one spot.
Example: there's only room for one person

(a single,a solitary,a sole,a lone,)

----------pronoun----------
Meaning: Referring to a person or thing previously mentioned or easily identified.
----------pronoun----------
Meaning: A person of a specified kind.
----------pronoun----------
Meaning: Used to refer to the speaker, or any person, as representing people in general.
"
onerous,"
----------adjective----------
Meaning: (of a task, duty, or responsibility) involving an amount of effort and difficulty that is oppressively burdensome.
Example: he found his duties increasingly onerous

(burdensome,heavy,inconvenient,troublesome,awkward,crushing,back-breaking,oppressive,)
"
ongoing,"
----------adjective----------
Meaning: Continuing; still in progress.
Example: ongoing negotiations

(in progress,under way,going on,continuing,happening,occurring,taking place,proceeding,being done,being worked on,being performed,current,extant,existing,existent,progressing,advancing,evolving,growing,developing,)
"
onion,"
----------noun----------
Meaning: An edible bulb with a pungent taste and smell, composed of several concentric layers, used in cooking.
Example: cook the onion in the oil until lightly colored

(facts,information,data,subject,discipline,)
----------noun----------
Meaning: The plant that produces the onion, with long rolled or straplike leaves and spherical heads of greenish-white flowers.
"
onus,"
----------noun----------
Meaning: Used to refer to something that is one's duty or responsibility.
Example: the onus is on you to show that you have suffered loss

(burden,responsibility,liability,obligation,duty,weight,load,charge,mantle,encumbrance,)
"
opaque,"
----------adjective----------
Meaning: Not able to be seen through; not transparent.
Example: the windows were opaque with steam

(non-transparent,cloudy,filmy,blurred,smeared,hazy,misty,dirty,dingy,muddy,muddied,grimy,smeary,)

"
Opportunities,"
----------noun----------
Meaning: A time or set of circumstances that makes it possible to do something.
Example: increased opportunities for export

(chance,lucky chance,good time,golden opportunity,time,occasion,moment,favourable moment,favourable occasion,favourable time,right set of circumstances,appropriate moment,appropriate occasion,appropriate time,suitable moment,suitable occasion,suitable time,opportune moment,opportune occasion,opportune time,opening,option,window,window of opportunity,slot,turn,go,run,clear run,field day,)
"
opportunity,"
----------noun----------
Meaning: A set of circumstances that makes it possible to do something.
Example: we may see increased opportunities for export

(chance,lucky chance,good time,golden opportunity,time,occasion,moment,favourable moment,favourable occasion,favourable time,right set of circumstances,appropriate moment,appropriate occasion,appropriate time,suitable moment,suitable occasion,suitable time,opportune moment,opportune occasion,opportune time,opening,option,window,window of opportunity,slot,turn,go,run,clear run,field day,)
"
opprobrious,"
----------adjective----------
Meaning: (of language) expressing scorn or criticism.
Example: opprobrious remarks

(abusive,vituperative,derogatory,disparaging,denigratory,pejorative,deprecatory,insulting,offensive,defamatory,slanderous,libellous,scurrilous,scandalous,vitriolic,venomous,)
"
opt,"
----------verb----------
Meaning: Make a choice from a range of possibilities.
Example: consumers will opt for low-priced goods

(choose,select,pick,pick out,decide on,go for,settle on,plump for,plump on,single out,take,fix on,)
"
optimize,"
"
option,"
----------noun----------
Meaning: A thing that is or may be chosen.
Example: choose the cheapest options for supplying energy

(choice,alternative,recourse,possibility,course of action,)

"
optometrist,"
"
Optometrists,"
----------noun----------
Meaning: A person who practises optometry.
"
orange,"
----------noun----------
Meaning: A round juicy citrus fruit with a tough bright reddish-yellow rind.
----------noun----------
Meaning: The leathery-leaved evergreen tree that bears the orange, native to warm regions of South and Southeast Asia. Oranges are a major commercial crop in many warm regions of the world.Used in names of other plants with fruit or flowers similar to the orange, e.g., mock orange.
----------noun----------
Meaning: A bright reddish-yellow color like that of the skin of a ripe orange.

----------adjective----------
Meaning: Reddish yellow.
"
oranges,"
----------noun----------
Meaning: A large round juicy citrus fruit with a tough bright reddish-yellow rind.
----------noun----------
Meaning: The leathery-leaved evergreen tree that bears the orange, native to warm regions of South and SE Asia. Oranges are a major commercial crop in many warm regions of the world.Used in names of plants with similar fruit or flowers to the orange tree, e.g. mock orange.
----------noun----------
Meaning: A bright reddish-yellow colour like that of the skin of a ripe orange.
----------noun----------
Meaning: A butterfly with mainly or partly orange wings.

----------adjective----------
Meaning: Reddish yellow.
"
orchard,"
----------noun----------
Meaning: A piece of enclosed land planted with fruit trees.
Example: an apple orchard

(copse,wood,thicket,coppice,group of trees,)
"
orchestrate,"
----------transitive verb----------
Meaning: Arrange or score (music) for orchestral performance.
Example: the song cycle was stunningly arranged and orchestrated

(arrange,adapt,score,)
----------transitive verb----------
Meaning: Arrange or direct the elements of (a situation) to produce a desired effect, especially surreptitiously.
Example: the developers were able to orchestrate a favorable media campaign

(organize,arrange,put together,plan,set up,bring about,manage,mobilize,mount,stage,stage-manage,mastermind,choreograph,coordinate,direct,engineer,)
"
orient,"


----------verb----------
Meaning: Align or position (something) relative to the points of a compass or other specified positions.
Example: the fires are oriented in direct line with the midsummer sunset

(align,place,position,put,dispose,situate,set,)
----------verb----------
Meaning: Adjust or tailor (something) to specified circumstances or needs.
Example: magazines oriented to the business community

(aim,direct,slant,angle,pitch,steer,design,intend,)
"
originally,"
----------adverb----------
Meaning: From or in the beginning; at first.
Example: potatoes originally came from South America

(at first,first,at the beginning,in the beginning,to begin with,initially,in the first place,at the start,at the outset,in the first instance,from day one,)
"
originate,"
----------verb----------
Meaning: Have a specified beginning.
Example: the word originated as a marketing term

(arise,have its origin,derive,begin,start,stem,spring,emerge,develop,grow,rise,flow,emanate,issue,)
"
ossify,"
----------intransitive verb----------
Meaning: Turn into bone or bony tissue.
Example: these tracheal cartilages may ossify

(turn into bone,become bony,harden,solidify,stiffen,rigidify,petrify,fossilize,)
----------intransitive verb----------
Meaning: Become rigid or fixed in attitude or position; cease developing.
Example: our political system has ossified

(become inflexible,become rigid,fossilize,harden,rigidify,stagnate,become obdurate,become unyielding,become unprogressive,cease developing,)
"
ostensible,"
----------adjective----------
Meaning: Stated or appearing to be true, but not necessarily so.
Example: the delay may have a deeper cause than the ostensible reason

(apparent,seeming,outward,surface,superficial,professed,supposed,avowed,presumed,so-called,alleged,declared,claimed,purported,pretended,feigned,specious,)
"
ostentation,"
----------noun----------
Meaning: Pretentious and vulgar display, especially of wealth and luxury, intended to impress or attract notice.
Example: the office was spacious, but without any trace of ostentation

(showiness,show,showing off,ostentatiousness,)
"
ostracism,"
----------noun----------
Meaning: Exclusion from a society or group.
Example: the family suffered social ostracism

(exclusion,rejection,repudiation,shunning,spurning,the cold shoulder,cold-shouldering,boycotting,blackballing,blacklisting,snubbing,avoidance,barring,banishment,exile,expulsion,)
"
ostrich,"
"
otter,"
"
ourselves,"
"
outcome,"
----------noun----------
Meaning: The way a thing turns out; a consequence.
Example: it is the outcome of the vote that counts

(result,end result,consequence,net result,upshot,effect,after-effect,aftermath,conclusion,sequel,follow-up,issue,product,end product,end,development,offshoot,outgrowth,wake,denouement,)
"
outcomes,"
----------noun----------
Meaning: The way a thing turns out; a consequence.
Example: it is the outcome of the vote that counts

(result,end result,consequence,net result,upshot,effect,after-effect,aftermath,conclusion,sequel,follow-up,issue,product,end product,end,development,offshoot,outgrowth,wake,denouement,)
"
outlines,"
----------noun----------
Meaning: A line or set of lines enclosing or indicating the shape of an object in a sketch or diagram.
Example: the chalked outline of a human body

(silhouette,profile,figure,shape,contour,form,line,lineaments,delineation,)
----------noun----------
Meaning: A general description or plan showing the essential features of something but not the detail.
Example: an outline of parliamentary procedure

(rough idea,thumbnail sketch,rundown,quick rundown,abbreviated version,summary,synopsis,résumé,precis,abridgement,abstract,reduction,digest,)

----------verb----------
Meaning: Draw, trace, or define the outer edge or shape of.
Example: her eyes were darkly outlined with kohl

(silhouette,define,demarcate,delimit,mark off,)
----------verb----------
Meaning: Give a summary of.
Example: she outlined the case briefly

(rough out,sketch out,block out,indicate,touch on,draft,give a thumbnail sketch of,give a rough idea of,give a quick rundown on,summarize,precis,)
"
output,"
----------noun----------
Meaning: The amount of something produced by a person, machine, or industry.
Example: efficiency can lead to higher outputs

(production,product,amount produced,quantity produced,yield,harvest,return,volume,gross national product,gross domestic product,out-turn,achievement,accomplishment,solutions,)

"
outrage,"
----------noun----------
Meaning: An extremely strong reaction of anger, shock, or indignation.
Example: her voice trembled with outrage

(indignation,fury,anger,rage,disapproval,wrath,shock,resentment,horror,disgust,amazement,)

----------transitive verb----------
Meaning: Arouse fierce anger, shock, or indignation in (someone)
Example: he was outraged at this attempt to take his victory away from him

(enrage,infuriate,incense,anger,scandalize,offend,give offence to,make indignant,affront,be an affront to,shock,horrify,disgust,revolt,repel,appal,displease,)
"
outrageous,"
----------adjective----------
Meaning: Shockingly bad or excessive.
Example: an outrageous act of bribery

(shocking,disgraceful,scandalous,atrocious,appalling,abhorrent,monstrous,heinous,)
----------adjective----------
Meaning: Very bold, unusual, and startling.
Example: her outrageous leotards and sexy routines

(eye-catching,startling,striking,flamboyant,showy,flashy,gaudy,ostentatious,dazzling,)
"
ovation,"
----------noun----------
Meaning: A sustained and enthusiastic show of appreciation from an audience, especially by means of applause.
Example: the performance received a thundering ovation

(round of applause,applause,handclapping,clapping,cheering,cheers,bravos,acclaim,standing ovation,acclamation,praise,plaudits,laurels,tribute,accolade,bouquets,)
"
overall,"
----------adjective----------
Meaning: Taking everything into account.

(all-inclusive,general,comprehensive,universal,all-embracing,gross,net,final,inclusive,)

----------adverb----------
Meaning: In all parts; taken as a whole.
Example: overall, 10,000 jobs will go

(generally,in general,generally speaking,altogether,all in all,on balance,on average,for the most part,mostly,in the main,on the whole,largely,by and large,to a large extent,to a great degree,)

"
Overdue,"
----------adjective----------
Meaning: Not having arrived, happened, or been done by the expected time.
Example: the rent was nearly three months overdue

(late,not on time,behind schedule,behindhand,behind time,long-overdue,long-delayed,delayed,belated,tardy,unpunctual,)
----------adjective----------
Meaning: Having been needed for some time.
"
overflow,"
----------verb----------
Meaning: (especially of a liquid) flow over the brim of a receptacle.
Example: chemicals overflowed from a storage tank

(spill over,flow over,run over,brim over,well over,slop over,slosh over,pour forth,stream forth,flood,discharge,surge,debouch,)

----------noun----------
Meaning: The flowing over of a liquid.
Example: there was some overflow after heavy rainfall

(overspill,spill,spillage,flood,flooding,inundation,excess water,)
"
overhang,"
----------transitive verb----------
Meaning: Hang or extend outward over.
Example: a concrete path overhung by trees

(stick out,stick out over,stand out,stand out over,extend,extend over,project,project over,protrude,protrude over,jut,jut over,jut out,jut out over,poke out,poke out over,beetle,beetle over,bulge out,bulge out over,loom,loom over,hang over,cantilever out,cantilever out over,)

"
overhaul,"
----------transitive verb----------
Meaning: Take apart (a piece of machinery or equipment) in order to examine it and repair it if necessary.
Example: a company that overhauls and repairs aircraft engines

(service,maintain,repair,mend,fix up,patch up,rebuild,renovate,revamp,recondition,remodel,refit,refurbish,modernize,)
----------transitive verb----------
Meaning: Overtake (someone), especially in a sporting event.
Example: Jodami overhauled his chief rival

(overtake,pass,get past,go past,go by,go faster than,get ahead of,pull ahead of,outdistance,outstrip,)

"
overlap,"
----------transitive verb----------
Meaning: Extend over so as to cover partly.
Example: the canopy overlaps the house roof at one end

(double,double over,double up,crease,turn under,turn up,turn over,bend,overlap,)

----------noun----------
Meaning: A part or amount which overlaps.
Example: an overlap of about half an inch

(fold,overhang,overlap,covering,)
"
overnight,"



"
overseas,"
----------adverb----------
Meaning: In or to a foreign country, especially one across the sea.
Example: he spent quite a lot of time working overseas

(overseas,out of the country,in foreign parts,to foreign parts,in a foreign country,in a foreign land,to a foreign country,to a foreign land,over the sea,beyond the seas,)

----------adjective----------
Meaning: From, to, or relating to a foreign country, especially one across the sea.
Example: overseas trips

(overseas,distant,remote,far off,far flung,external,outside,)
"
overweening,"
----------adjective----------
Meaning: Showing excessive confidence or pride.
Example: overweening ambition

(overconfident,conceited,cocksure,cocky,smug,haughty,supercilious,disdainful,lofty,patronizing,arrogant,proud,vain,vainglorious,self-important,egotistical,high-handed,magisterial,cavalier,imperious,domineering,dictatorial,overbearing,presumptuous,lordly,peremptory,pompous,officious,blustering,boastful,self-assertive,opinionated,bold,forward,insolent,)
"
overwhelmingly,"
----------adverb----------
Meaning: To a very great degree or with a great majority.
"
owe,"
----------verb----------
Meaning: Have an obligation to pay or repay (something, especially money) in return for something received.
Example: they have denied they owe money to the company

(be in debt,be in debt to,be indebted,be indebted to,be in arrears,be in arrears to,be under an obligation,be under an obligation to,be obligated,be obligated to,be beholden to,)
"
owl,"
"
oyster,"

"
paddock,"
----------noun----------
Meaning: A small field or enclosure where horses are kept or exercised.
Example: What is required to make the fence adequate depends upon the horses confined behind it, the proximity of the paddock or pasture to the highway, and the nature of the highway.

(field,meadow,pasture,)

"
paean,"
"
palate,"
----------noun----------
Meaning: The roof of the mouth, separating the cavities of the nose and the mouth in vertebrates.
Example: Forty percent of head and neck cancers occur in the oral cavity, including the tongue, floor of the mouth, palate, lips and oropharynx.

(roof of the mouth,)
----------noun----------
Meaning: A person's appreciation of taste and flavor, especially when sophisticated and discriminating.
Example: a fine range of drink for sophisticated palates

(sense of taste,taste,taste buds,)
"
palatial,"
----------adjective----------
Meaning: Resembling a palace in being spacious and splendid.
Example: her palatial apartment in Chicago

(opulent,sumptuous,affluent,expensive,rich,costly,deluxe,lush,grand,palatial,splendid,magnificent,lavish,lavishly appointed,well appointed,extravagant,ornate,fancy,stylish,elegant,)
"
palliate,"
----------transitive verb----------
Meaning: Make (a disease or its symptoms) less severe or unpleasant without removing the cause.
Example: treatment works by palliating symptoms

(alleviate,ease,relieve,soothe,take the edge off,assuage,allay,dull,soften,lessen,moderate,temper,mitigate,diminish,decrease,blunt,deaden,abate,)
"
palpitate,"
----------verb----------
Meaning: (of the heart) beat rapidly, strongly, or irregularly.

(beat rapidly,pound,throb,pulsate,pulse,thud,thump,hammer,flutter,pitter-patter,go pit-a-pat,quiver,pump,race,pant,thrill,)
"
pane,"
----------noun----------
Meaning: A single sheet of glass in a window or door.
Example: Doors with glass panes require a double-cylinder deadbolt to prevent someone from breaking the glass, reaching in and unlocking the door.

(sheet of glass,panel,windowpane,)
"
panegyric,"
----------noun----------
Meaning: A public speech or published text in praise of someone or something.
Example: Vera's panegyric on friendship

(eulogy,speech of praise,paean,accolade,tribute,testimonial,)
"
panel,"
----------noun----------
Meaning: A flat or curved component, typically rectangular, that forms or is set into the surface of a door, wall, or ceiling.
Example: a layer of insulating material should be placed between the panels and the wall

(panel,sheet,layer,lamina,leaf,pane,slab,)
----------noun----------
Meaning: A flat board on which instruments or controls are fixed.

(console,instrument panel,fascia,board,dashboard,)
----------noun----------
Meaning: A small group of people brought together to discuss, investigate, or decide on a particular matter, especially in the context of business or government.
Example: we assembled a panel of experts

(group,advisory group,team,body,committee,jury,council,board,commission,)

"
pants,"
----------plural noun----------
Meaning: Rubbish; nonsense.

(substandard,poor,inferior,second-rate,second-class,unsatisfactory,inadequate,unacceptable,not up to scratch,not up to par,deficient,imperfect,defective,faulty,shoddy,amateurish,careless,negligent,)
"
paradigm,"
----------noun----------
Meaning: A typical example or pattern of something; a model.
Example: there is a new paradigm for public art in this country

(specimen,sample,exemplar,exemplification,instance,case,representative case,typical case,case in point,illustration,)
"
paradise,"
----------noun----------
Meaning: (in some religions) heaven as the ultimate abode of the just.
Example: martyrs who die in battle with the ungodly earn instant transmission to paradise

(heaven,the kingdom of heaven,the promised land,the heavenly kingdom,the City of God,the celestial city,the abode of God,the abode of the saints,Zion,Abraham's bosom,)
"
paradox,"
----------noun----------
Meaning: A seemingly absurd or self-contradictory statement or proposition that when investigated or explained may prove to be well founded or true.
Example: in a paradox, he has discovered that stepping back from his job has increased the rewards he gleans from it

(contradiction,contradiction in terms,self-contradiction,inconsistency,incongruity,anomaly,conflict,)
"
paragliding,"
"
paragraph,"
----------noun----------
Meaning: A distinct section of a piece of writing, usually dealing with a single theme and indicated by a new line, indentation, or numbering.
Example: the concluding paragraph

(section,subdivision,part,subsection,division,portion,segment,bit,passage,clause,)

"
paragraphs,"
----------noun----------
Meaning: A distinct section of a piece of writing, usually dealing with a single theme and indicated by a new line, indentation, or numbering.
Example: the concluding paragraph

(section,subdivision,part,subsection,division,portion,segment,bit,passage,clause,)

----------verb----------
Meaning: Arrange (a piece of writing) in paragraphs.
"
parallel,"
----------adjective----------
Meaning: (of lines, planes, surfaces, or objects) side by side and having the same distance continuously between them.
Example: parallel lines never meet

(side by side,aligned,collateral,equidistant,)

----------noun----------
Meaning: A person or thing that is similar or analogous to another.
Example: a challenge that has no parallel in peacetime this century

(counterpart,analogue,equivalent,likeness,correspondent,match,twin,duplicate,equal,coequal,mirror,)
----------noun----------
Meaning: Each of the imaginary parallel circles of constant latitude on the earth's surface.
Example: Central Australia was a formally separate entity from the rest of the Territory, marked by the twentieth parallel of latitude.

(parallel,grid line,)

"
paralyzed,"
"
parameter,"
----------noun----------
Meaning: A numerical or other measurable factor forming one of a set that defines a system or sets the conditions of its operation.
Example: the transmission will not let you downshift unless your speed is within the lower gear's parameters

(instructions,stipulations,requirements,conditions,provisions,restrictions,provisos,guidelines,parameters,order,)
"
parameterizing,NULL
paramount,"
----------adjective----------
Meaning: More important than anything else; supreme.
Example: the interests of the child are of paramount importance

(most important,of greatest importance,of prime importance,of supreme importance,)
"
parasite,"
----------noun----------
Meaning: A person who habitually relies on or exploits others and gives nothing in return.

(hanger-on,leech,passenger,drone,)
"
parenthesis,"
----------noun----------
Meaning: A word, clause, or sentence inserted as an explanation or afterthought into a passage that is grammatically complete without it, in writing usually marked off by curved brackets, dashes, or commas.
Example: The practice in writing and print of using a set of marks to regulate texts and clarify their meanings, principally by separating or linking words, phrases, and clauses, and by indicating parentheses and asides.

(parenthesis,brace,)
"
pariah,"
----------noun----------
Meaning: An outcast.
Example: they were treated as social pariahs

(outcast,persona non grata,leper,reject,untouchable,undesirable,)
"
parity,"
----------noun----------
Meaning: The state or condition of being equal, especially regarding status or pay.
Example: parity of incomes between rural workers and those in industrial occupations

(equality,equivalence,uniformity,sameness,consistency,correspondence,congruity,congruence,levelness,unity,coequality,parallelism,evenness,)
"
parrot,"

----------transitive verb----------
Meaning: Repeat mechanically.
Example: encouraging students to parrot back information

(repeat mindlessly,repeat,repeat mechanically,echo,say again,)
"
parsimonious,"
----------adjective----------
Meaning: Unwilling to spend money or use resources; stingy or frugal.
Example: parsimonious New Hampshire voters, who have a phobia about taxes

(miserly,niggardly,close-fisted,penny-pinching,cheese-paring,ungenerous,penurious,illiberal,close,grasping,Scrooge-like,stinting,sparing,frugal,)
"
participate,"
----------intransitive verb----------
Meaning: Take part in an action or endeavour.
Example: thousands participated in a nationwide strike

(take part,engage,join,get involved,share,play a part,play a role,be a participant,partake,)
----------intransitive verb----------
Meaning: Have or possess (a particular quality)

(benefit from,have the benefit of,reap the benefits of,have the advantage,have the use of,have available,avail oneself of,be blessed with,be favoured with,be endowed with,be born with,be possessed of,)
"
partisan,"
----------noun----------
Meaning: A strong supporter of a party, cause, or person.
Example: partisans of the exiled Stuarts

(supporter,follower,adherent,devotee,champion,backer,upholder,promoter,fanatic,fan,enthusiast,stalwart,zealot,disciple,votary,)
----------noun----------
Meaning: A member of an armed group formed to fight secretly against an occupying force, in particular one operating in enemy-occupied Yugoslavia, Italy, and parts of eastern Europe in World War II.
Example: the partisans opened fire from the woods

(guerrilla,freedom fighter,resistance fighter,member of the resistance,underground fighter,irregular soldier,irregular,)

----------adjective----------
Meaning: Prejudiced in favor of a particular cause.
Example: newspapers have become increasingly partisan

(biased,prejudiced,one-sided,coloured,discriminatory,preferential,partial,interested,parti pris,bigoted,sectarian,factional,unjust,unfair,inequitable,unbalanced,)
"
partner,"
----------noun----------
Meaning: Either member of a married couple or of an established unmarried couple.

(husband and wife,twosome,)
----------noun----------
Meaning: A person with whom one has sex; a lover.

(spouse,husband,wife,mate,consort,)

----------transitive verb----------
Meaning: Be the partner of.
Example: young farmers who partnered Isabel to the village dance

(go with,go along with,travel with,keep someone company,tag along with,partner,escort,chaperone,attend,follow,conduct,lead,take,show,see,guide,steer,usher,pilot,convoy,help,assist,show someone the way,)
"
partridge,"
"
